"","t","lower95","lower50","median","upper50","upper95","virus"
"49",12,0.00435122343488409,0.0100640532287843,0.0145663284775693,0.0196730681880129,0.0274735589140862,"New variant, different kinetics"
"50",13,0.0050615399894084,0.0111027401033722,0.0156336933791035,0.020559285939373,0.0275275776177242,"New variant, different kinetics"
"51",14,0.00588781234701305,0.0122486281801725,0.0167792708612681,0.0214854253955448,0.02758170277458,"New variant, different kinetics"
"52",15,0.00684896974169402,0.0135127816070693,0.0180087920663839,0.0224532849221816,0.0276084613762839,"New variant, different kinetics"
"53",16,0.00796703151497324,0.0149074064622623,0.0193284080955374,0.0234647438965362,0.0276541598065886,"New variant, different kinetics"
"54",17,0.00926761156127267,0.0164459686137571,0.020744720781804,0.0245217663568202,0.0276553594616954,"New variant, different kinetics"
"55",18,0.0107805051215995,0.0181433237433153,0.0222648157184386,0.0255845665322276,0.0277771172973334,"New variant, different kinetics"
"56",19,0.0125403713685125,0.0200158607903886,0.0238527906590195,0.0266567499872702,0.0280547428987002,"New variant, different kinetics"
"57",20,0.0145875274198425,0.0220137979342623,0.0255965259218646,0.027822905097022,0.0285828301135398,"New variant, different kinetics"
"58",21,0.0169688719713795,0.0242677970776392,0.0273352730787894,0.0289271943109267,0.0294126518823932,"New variant, different kinetics"
"59",22,0.0197357915677309,0.0265995781508154,0.0290971795660676,0.030258767209347,0.0305641495545219,"New variant, different kinetics"
"60",23,0.0227953587575949,0.0288967743454172,0.031089700538409,0.0318353408434245,0.0320896487330442,"New variant, different kinetics"
"61",24,0.0249211133993379,0.0312073737429506,0.0331170935787423,0.0338462373348058,0.034064722803738,"New variant, different kinetics"
"62",25,0.0273213897971048,0.0338196881425643,0.0355166568322688,0.0363701470485633,0.0366033110846248,"New variant, different kinetics"
"63",26,0.028239584908968,0.0361457360799808,0.0384538176514777,0.039520701814896,0.0398524844609311,"New variant, different kinetics"
"64",27,0.0282951132305807,0.0380403407964906,0.0418916770574643,0.0434808825890515,0.0440449311937617,"New variant, different kinetics"
"65",28,0.0283507509851825,0.0398150287268499,0.045135972104313,0.0482975101913131,0.0495270701690871,"New variant, different kinetics"
"66",29,0.0284064983887823,0.0416085873594257,0.0484669843679745,0.0534502916994067,0.0568427152400345,"New variant, different kinetics"
"67",30,0.0284623556578154,0.0434829409780187,0.0520184681677337,0.0589668352210848,0.0661750931479441,"New variant, different kinetics"
"68",31,0.0285183230091453,0.0454417291815508,0.0558301922710984,0.0650527392348682,0.0769778627361268,"New variant, different kinetics"
"69",32,0.0285744006600637,0.0474887555232887,0.0599212262153691,0.0717667676836828,0.0895441331409608,"New variant, different kinetics"
"70",33,0.0286305888282919,0.049627994896561,0.064312036892462,0.0791737496089691,0.104161787493325,"New variant, different kinetics"
"71",34,0.0286868877319813,0.0518636012531811,0.0690245909427867,0.0873452051417444,0.12116570447765,"New variant, different kinetics"
"72",35,0.0287432975897145,0.0541999156695667,0.0740824646522501,0.0963600361039649,0.140945430132791,"New variant, different kinetics"
