"","t","lower95","lower50","median","upper50","upper95","virus"
"1",0,0.000155390813167972,0.0106464505567681,0.0266965357421766,0.0451533782739569,0.0888755101658387,"Original variant"
"2",1,0.000190181632745222,0.0111687717487669,0.0267567525826399,0.0437915305374263,0.0812956870035632,"Original variant"
"3",2,0.000232762025393417,0.0117167183369873,0.0268171052485321,0.0424707568824366,0.07436231575624,"Original variant"
"4",3,0.000284876096134762,0.0122915475193935,0.0268775940462217,0.0411898184890869,0.0680202631775113,"Original variant"
"5",4,0.000348658468754821,0.0128945781728876,0.0269382192827684,0.0399475139011435,0.0622190981126893,"Original variant"
"6",5,0.000426721728147903,0.0135271938793189,0.0269989812659244,0.0387426778991228,0.0569126904761948,"Original variant"
"7",6,0.000522263442660473,0.0141908460999508,0.0270598803041363,0.0375741804073636,0.0520588444306189,"Original variant"
"8",7,0.000639197150879191,0.0148870575056698,0.0271209167065461,0.0364409254340625,0.047618962850486,"Original variant"
"9",8,0.00078231267912275,0.0156174254705764,0.0271820907829933,0.0353418500432793,0.0435393170718668,"Original variant"
"10",9,0.000957472357573363,0.0163836257369742,0.0272434028440164,0.0342759233579467,0.0397873219670326,"Original variant"
"11",10,0.00117185117376167,0.0171874162601653,0.0273048532008539,0.0332421455929512,0.0365553015600675,"Original variant"
"12",11,0.00143423070226178,0.0180306412418746,0.0273664421654469,0.0321660078284767,0.0340378437823198,"Original variant"
"13",12,0.00175535885272108,0.0189152353615564,0.0274205922040191,0.030896093828817,0.032076817361815,"Original variant"
"14",13,0.00214839017502067,0.0198432282152916,0.0272181650825458,0.0298585702280559,0.0305595327601763,"Original variant"
"15",14,0.00262942476093419,0.020792183108684,0.0268553870189291,0.028884642678812,0.0294162892736142,"Original variant"
"16",15,0.00321816782136818,0.0216159125065312,0.0264811232429559,0.028151555085374,0.0285966945818662,"Original variant"
"17",16,0.00393873696265729,0.0217424372249497,0.0261464879232917,0.0276739295100947,0.0280638325574525,"Original variant"
"18",17,0.00482065023705773,0.0217750747623545,0.025907753526027,0.0273811709587461,0.027804861179988,"Original variant"
"19",18,0.00590003544950932,0.0220334503224856,0.0257107063865036,0.0273499201250975,0.0278056484436387,"Original variant"
"20",19,0.00722111026843763,0.0220183318682297,0.0256823409843898,0.0275104053986535,0.0280613648781529,"Original variant"
"21",20,0.00883799378433449,0.0215769034808855,0.0257358903244313,0.0278845899880929,0.0285879086534652,"Original variant"
"22",21,0.00976760035857991,0.0216300490981036,0.0259751837429698,0.0284583612486558,0.0294070562352129,"Original variant"
"23",22,0.010623967086007,0.0213155066177313,0.0262343441943911,0.0294308104160816,0.0305535027924693,"Original variant"
"24",23,0.0106478153677384,0.0212533548779956,0.0265102427772733,0.0304455397546487,0.0320710387899065,"Original variant"
"25",24,0.0101683514480087,0.0209068001475248,0.0269636286450786,0.0318236563450939,0.0340549505538299,"Original variant"
"26",25,0.00957012388155793,0.0205404416520193,0.0275219358399088,0.0334905639895122,0.0365500546748247,"Original variant"
"27",26,0.00875392857032248,0.0202516088161312,0.0278815208164495,0.0354747616364753,0.0398107225022559,"Original variant"
"28",27,0.00800734312794181,0.0197509153277778,0.0283075007892956,0.0375549071455921,0.0439118556563741,"Original variant"
"29",28,0.00732443081864161,0.0191552193193032,0.0284349672545309,0.0399527512264576,0.0493421956695019,"Original variant"
"30",29,0.0066997612263302,0.0185774897972934,0.0284991053104699,0.0426993840274035,0.0564704342354517,"Original variant"
"31",30,0.00612836707266472,0.0180171848823718,0.0285633880365539,0.0447942420846998,0.0663239245153633,"Original variant"
"32",31,0.00560570471792944,0.0174737790385878,0.0286278157591015,0.0469918751999723,0.0807283953392869,"Original variant"
"33",32,0.00512761803063378,0.0169467625804873,0.0286923888051676,0.0492973255840047,0.0998571227260502,"Original variant"
"34",33,0.00469030533852548,0.0164356411950506,0.0287571075025449,0.0517158828217796,0.122217564285843,"Original variant"
"35",34,0.00429028919821759,0.015939935478049,0.0288219721797651,0.0542530960088246,0.149585187276199,"Original variant"
"36",35,0.00392438874304093,0.0154591804843855,0.0288869831661014,0.0569147864829752,0.183081282523372,"Original variant"
"37",0,0.000708852596195816,0.00309662193297719,0.00623465649875988,0.0115942052559051,0.0268335619007542,"New variant, different kinetics"
"38",1,0.000824569414945918,0.00341621416427297,0.00669150754996575,0.0121164922172143,0.0268863194051545,"New variant, different kinetics"
"39",2,0.000959176454621063,0.00376879071471689,0.00718183491310054,0.0126623067808019,0.0269391808734162,"New variant, different kinetics"
"40",3,0.00111575745404636,0.0041577558396401,0.00770809161027558,0.0132327088016423,0.026992146510741,"New variant, different kinetics"
"41",4,0.00129789955776049,0.00458686514443315,0.00827291041248491,0.013828805878347,0.0270452165227357,"New variant, different kinetics"
"42",5,0.00150977549460696,0.00506026184733888,0.00887911701100154,0.0144517555038896,0.0270983911154135,"New variant, different kinetics"
"43",6,0.00175623917159006,0.00558251678495197,0.0095297441539315,0.0151027673132149,0.0271516704951947,"New variant, different kinetics"
"44",7,0.00204293687297361,0.00615867254671534,0.0102280468186494,0.0157831054320973,0.0272050548689075,"New variant, different kinetics"
"45",8,0.00237643661210434,0.0067942921645735,0.010977518496022,0.0164940909318092,0.0272585444437888,"New variant, different kinetics"
"46",9,0.00276437859930602,0.00749551282792775,0.0117819086678879,0.0172371043943653,0.027312139427485,"New variant, different kinetics"
"47",10,0.00321565027294241,0.00826910514256324,0.0126452415652318,0.0180135885933251,0.0273658400280527,"New variant, different kinetics"
"48",11,0.00374058990346984,0.00912253850575067,0.0135718363008984,0.0188250512953582,0.0274196464539599,"New variant, different kinetics"
